text,cleaned_text,agg_labels
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",much love hopeful reckon chances minimal p im never gon na get cake stuff,2
is back home now      gonna miss every one,back home gon na miss every one,2
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",ahhh slept game im gon na try best watch tomorrow though hope play army,2
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,egh blah boooooooooooo dunno wan na go work hangovers suckkkkkk im drunk mess,2
"i lost all my friends, i`m alone and sleepy..i wanna go home",lost friends im alone sleepyi wan na go home,2
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,yay playing show tonight boo gon na soggy im work right playing,2
 lucky kid...i so wanna see loserville  pity im in oz....,lucky kidi wan na see loserville pity im oz,2
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,waiting sleeping pills kick gon na tired work tomorrow,2
Gonna read a story bout adam lambert online then bed. Nighty night,gon na read story bout adam lambert online bed nighty night,2
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",peter gordon morning go pieces wan na hide go pieces almost die ever httpblipfmyk,2
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,gon na celebrate mothers day family gon na start partying tonite,2
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",ohoh missed ur tweets im gon na stay awake night see announcement time difference,2
"Woke Up,I Wanna Stay In My bed",woke upi wan na stay bed,2
yeah.... and im gonna take ur picture off my ipod baby..,yeah im gon na take ur picture ipod baby,2
 AWWWW  we`re gonna miss you!,awwww gon na miss,2
"sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit",sigh sisters bein strange came way copenhagen london phones turned wan na see dammit,2
I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.,im getting family ready kaylees graduation gon na make sad,2
Gotta get creative with these mothers day gifts. I`m gonna win them over with my love!!,got ta get creative mothers day gifts im gon na win love,2
Thinks its gonna rain,thinks gon na rain,2
"Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun",didnt get bitten rabies infested person last night yay gon na scare rachel quarantine tonight shall fun,2
its too early  i wanna go back to sleeep,early wan na go back sleeep,2
sitting at home doing nothing. gonna be like this all weekend,sitting home nothing gon na like weekend,2
 ohhh i wanna go  gahhh but i dunnooooooo :S me confuzzzledd should i or not???,ohhh wan na go gahhh dunnooooooo confuzzzledd,2
Ugh! I wanna play dnd but i know i`m going to fail this final. I NEED to study,ugh wan na play dnd know im going fail final need study,2
has just finished ironing his clothes for #Church. Gonna walk the dog now then grab a shower/shave and be off  #jottonia looks good too,finished ironing clothes church gon na walk dog grab showershave jottonia looks good,2
Going to the courthouse to pay for tags & taxes on all our cars...this is gonna be expensive.,going courthouse pay tags taxes carsthis gon na expensive,2
 ugggh idk how to do that  but i only wanna stop getting texts from twitterr  -ilsE*,ugggh idk wan na stop getting texts twitterr ilse,2
"Baby baby, it`s gonna be all right when I`m by your side and the whole world turns against you... I ? it when my Ipod randoms BSB songs",baby baby gon na right im side whole world turns ipod randoms bsb songs,2
today Jon Doe plays at the Moho. ia m excited  itï¿½s gonna be funny.. but before i have to carry all the equipment and do the backline,today jon doe plays moho ia excited gon na funny carry equipment backline,2
okie gonna tweet more because i am loosing you guys or girls,okie gon na tweet loosing guys girls,2
 i need to get tickets though  idk how that is gonna happen,need get tickets though idk gon na happen,2
I`m saying my goodbye to my car for the next 2 weeks  I`m gonna miss it!!  Its going to come back beautiful though!!,im saying goodbye car next weeks im gon na miss going come back beautiful though,2
what am i gonna do when my iphone is full!,gon na iphone full,2
 Whom do yu wanna kill ??,yu wan na kill,2
 5 seasons that`s it? Sorry just noticed in ur previous update. My sis isn`t gonna be happy,seasons thats sorry noticed ur previous update sis isnt gon na happy,2
